lambda,hst.ACS_update_sep07.wfc_f435w_t81.dat,hst.ACS_update_sep07.wfc_f475w_t81.dat,hst.ACS_update_sep07.wfc_f606w_t81.dat,hst.ACS_update_sep07.wfc_f775w_t81.dat,hst.ACS_update_sep07.wfc_f814w_t81.dat,F090W_JWST,hst.wfc3.IR.f105w.dat,F115W_JWST,hst.wfc3.IR.f125w.dat,hst.wfc3.IR.f140w.dat,F150W_JWST,hst.wfc3.IR.f160w.dat,F200W_JWST,F277W_JWST,F356W_JWST,F410M_JWST,F444W_JWST
11530,,,,,,2.68895399056069e-06,0.980143571428571,0.332511908815879,0.93768475,,1.22625876368884e-06,9.883472e-05,1.60788399378263e-06,,,,
11540,,,,,,2.49669904812932e-06,0.977949857142857,0.33392008676855,0.937413,0,1.19586734117701e-06,9.886864e-05,1.6618573504316e-06,,,,
11550,,,,,,2.59521809164134e-06,0.975156714285714,0.335662928256595,0.940519,0,1.13370077015273e-06,9.89006e-05,1.66763253801759e-06,,,,
11560,,,,,,2.42830953948182e-06,0.971764142857143,0.337543171196907,0.943625,0,1.2949743528259e-06,9.89306e-05,1.72907752817849e-06,,,,
11570,,,,,,2.36684041162757e-06,0.968371571428571,0.339695357423472,0.946731,0,1.15633219623576e-06,9.89606e-05,1.79328108311536e-06,,,,
11580,,,,,,2.69303253319341e-06,0.964979,0.341334695209686,0.949837,0,1.02615350555352e-06,9.89906e-05,1.85553308995916e-06,,,,
11590,,,,,,2.5440433861608e-06,0.962910142857143,0.34359114765476,0.9539895,0.000110271333333333,9.99346232830106e-07,9.90206e-05,1.82999424086695e-06,,,,
11600,,,,,,2.53479215037169e-06,0.960841285714286,0.344893853793863,0.958142,0.000220542666666667,9.03344686177664e-07,9.905082e-05,1.78075360546203e-06,,,,
11610,,,,,,2.37214159138388e-06,0.958772428571429,0.346442359309379,0.9622945,0.000330814,1.06796273599457e-06,9.908126e-05,1.8604856737675e-06,,,,
11620,,,,,,2.33712047472682e-06,0.958337857142857,0.347665770580904,0.966447,0.000441085333333333,9.71363532991588e-07,9.91117e-05,1.82532291159118e-06,,,,
11630,,,,,,2.41118265943028e-06,0.959537571428571,0.349362909844539,0.967467,0.000500180444444445,1.25007111624699e-06,9.914214e-05,1.70625627177955e-06,,,,
11640,,,,,,2.51666389822114e-06,0.960737285714286,0.350654469151247,0.968487,0.000508099333333333,1.11668956420942e-06,9.917258e-05,1.75983098727977e-06,,,,
11650,,,,,,2.48279300440241e-06,0.961937,0.351637517961216,0.969507,0.000516018222222222,1.06476367074493e-06,9.920309e-05,1.79771068735051e-06,,,,
11660,,,,,,2.58990766524076e-06,0.965191857142857,0.352435238613028,0.970527,0.000523937111111111,9.40173323454161e-07,9.923367e-05,1.80823268877626e-06,,,,
11670,,,,,,2.56568050415447e-06,0.968446714285714,0.353430215012885,0.9683795,0.000531856,1.25258329400779e-06,9.926425e-05,1.82624197256633e-06,,,,
11680,,,,,,2.41159041132629e-06,0.971701571428571,0.354091068005973,0.966232,0.000542438666666667,1.04373772864703e-06,9.929483e-05,1.89921126146793e-06,,,,
11690,,,,,,2.28283684557712e-06,0.975188714285714,0.354441198707902,0.9640845,0.000553021333333333,1.20674296970166e-06,9.932541e-05,1.86684028172538e-06,,,,
11700,,,,,,2.36685535134253e-06,0.978908142857143,0.354737721709647,0.961937,0.000563604,1.38264563114146e-06,9.935599e-05,1.75897287675089e-06,,,,
11710,,,,,,2.33046720888292e-06,0.982627571428571,0.355029757861934,0.96047775,0.000574186666666667,1.12773413358431e-06,9.938657e-05,1.73409032845973e-06,,,,
11720,,,,,,2.41680752410225e-06,0.986347,0.355433737622812,0.9590185,0.000606745666666667,1.06670606355105e-06,9.941715e-05,1.68621366759201e-06,,,,
11730,,,,,,3.08945745318561e-06,0.989182142857143,0.355485439557259,0.95755925,0.000661281,1.14357496250557e-06,9.944773e-05,1.70214269021311e-06,,,,
11740,,,,,,2.68879520097585e-06,0.992017285714286,0.355812141194848,0.9561,0.000715816333333333,1.18566243404117e-06,9.947831e-05,1.73753072517397e-06,,,,
11750,,,,,,2.22789364135474e-06,0.994852428571429,0.356523913805505,0.9571155,0.000770351666666667,1.29751872077778e-06,9.950835e-05,1.72449218463316e-06,,,,
11760,,,,,,2.42196981450996e-06,0.996802857142857,0.356346358742888,0.958131,0.000824887,1.32795712155671e-06,9.953785e-05,1.70389118225607e-06,,,,
11770,,,,,,2.53790896030846e-06,0.997868571428571,0.356595140866866,0.9591465,0.00132751655555556,1.45602845576111e-06,9.956735e-05,1.72289350899702e-06,,,,
11780,,,,,,2.37633746232775e-06,0.998934285714286,0.356218096700664,0.960162,0.00183014611111111,1.2939940076797e-06,9.959685e-05,1.73233704512145e-06,,,,
11790,,,,,,2.2629982516779e-06,1,0.355771237392776,0.96132525,0.00233277566666667,1.18435166539623e-06,9.962635e-05,1.76889975021133e-06,,,,
11800,,,,,,2.25600328963431e-06,0.994954571428572,0.355269668649264,0.9624885,0.00283540522222222,1.17126354919212e-06,9.965079e-05,1.80295819634218e-06,,,,
11810,,,,,,2.11336603333498e-06,0.989909142857143,0.35548168629556,0.96365175,0.00383825333333333,1.21847498282384e-06,9.967017e-05,1.79882365093156e-06,,,,
11820,,,,,,2.24293621998359e-06,0.984863714285714,0.356274546646773,0.964815,0.00534132,1.02686833875139e-06,9.968955e-05,1.77246633446595e-06,,,,
11830,,,,,,2.48888190110323e-06,0.977292142857143,0.356145651465229,0.96403575,0.00684438666666667,1.13201785603037e-06,9.970893e-05,1.73663881093972e-06,,,,
11840,,,,,,2.34297542076738e-06,0.967194428571429,0.355677908713886,0.9632565,0.00834745333333333,1.08301738933377e-06,9.972831e-05,1.76905463511866e-06,,,,
11850,,,,,,2.12234079931927e-06,0.957096714285714,0.35511635542857,0.96247725,0.00985052,9.54269930590788e-07,9.974646e-05,1.77607071367636e-06,,,,
11860,,,,,,2.21664909341459e-06,0.946999,0.354645706011883,0.961698,0.0140111155555556,9.9521167777685e-07,9.976338e-05,1.69955222955123e-06,,,,
11870,,,,,,2.30840941102248e-06,0.945248428571429,0.353531082523128,0.9603655,0.0181717111111111,1.09571762198014e-06,9.97803e-05,1.74922239504447e-06,,,,
11880,,,,,,2.53784031271032e-06,0.943497857142857,0.353016998656066,0.959033,0.0223323066666667,1.10409698017976e-06,9.979722e-05,1.82724181471122e-06,,,,
11890,,,,,,2.50434476918973e-06,0.941747285714286,0.353294119369023,0.9577005,0.0264929022222222,1.09295189438485e-06,9.981414e-05,1.80671404332044e-06,,,,
11900,,,,,,2.53400372433978e-06,0.946222714285714,0.353979508665971,0.956368,0.0354609666666667,1.10154711137307e-06,9.983105e-05,1.7133538791246e-06,,,,
11910,,,,,,2.58184314591022e-06,0.956924142857143,0.353671287089574,0.956702,0.0492365,1.04601449374589e-06,9.984795e-05,1.7052437716807e-06,,,,
11920,,,,,,2.6305562527308e-06,0.967625571428571,0.352033773300946,0.957036,0.0630120333333333,9.40330281445528e-07,9.986485e-05,1.90411675011866e-06,,,,
11930,,,,,,2.60753099982617e-06,0.978327,0.351331322207867,0.95737,0.0767875666666667,8.90953604506925e-07,9.988175e-05,1.99645778904704e-06,,,,
11940,,,,,,2.1506678028217e-06,0.928771857142857,0.350576241770944,0.957704,0.0905631,1.15072186626434e-06,9.989865e-05,1.88157406905596e-06,,,,
11950,,,,,,2.29577970752889e-06,0.879216714285714,0.349806457313043,0.95942275,0.140988411111111,1.15796473926473e-06,9.991535e-05,1.81015593881614e-06,,,,
11960,,,,,,2.33363568866187e-06,0.829661571428571,0.348739763179561,0.9611415,0.191413722222222,1.3547252652384e-06,9.993185e-05,1.7892741420691e-06,,,,
11970,,,,,,2.33728831097125e-06,0.743810142857143,0.348314303584147,0.96286025,0.241839033333333,1.28878468707524e-06,9.994835e-05,1.82011163337669e-06,,,,
11980,,,,,,2.36370736698952e-06,0.621662428571429,0.348166102302512,0.964579,0.292264344444444,1.08314166531472e-06,9.996485e-05,1.87099469518165e-06,,,,
11990,,,,,,2.27311497331524e-06,0.499514714285714,0.348073938733118,0.9656045,0.367771333333333,1.09630656787073e-06,9.998135e-05,1.87584489228398e-06,,,,
12000,,,,,,2.43521047809508e-06,0.377367,0.347892846856426,0.96663,0.46836,1.3299769156311e-06,9.999594e-05,1.82627831959796e-06,,,,
12010,,,,,,2.35355873226484e-06,0.306346428571429,0.348323738450342,0.9676555,0.568948666666667,1.32019651157813e-06,0.00010000862,1.76217316146867e-06,,,,
12020,,,,,,2.48154025325631e-06,0.235325857142857,0.348552633238343,0.968681,0.669537333333333,1.45407397898941e-06,0.0001000213,1.77019851810109e-06,,,,
12030,,,,,,2.45597281372414e-06,0.164305285714286,0.348068729539958,0.96844525,0.770126,1.4891659216827e-06,0.00010003398,1.85713768545251e-06,,,,
12040,,,,,,2.26627169256999e-06,0.117060342857143,0.348188498598703,0.9682095,0.814250666666667,1.23834550388954e-06,0.00010004666,1.84378431348895e-06,,,,
12050,,,,,,2.07881257203035e-06,0.0935910285714286,0.348159246808518,0.96797375,0.858375333333333,1.62886910653333e-06,0.0001000589,1.6573040644243e-06,,,,
12060,,,,,,1.99598632783096e-06,0.0701217142857143,0.348119149933142,0.967738,0.9025,1.40857331060367e-06,0.0001000707,1.66030703289074e-06,,,,
12070,,,,,,2.31611430633163e-06,0.0466524,0.348013083013499,0.96790025,0.946624666666667,1.31033651740618e-06,0.0001000825,1.78013170559964e-06,,,,
12080,,,,,,2.40806999064115e-06,0.0386592857142857,0.347983040456241,0.9680625,0.969012555555556,1.32472220737981e-06,0.0001000943,1.83934567302201e-06,,,,
12090,,,,,,2.30003217952266e-06,0.0306661714285714,0.349033128762212,0.96822475,0.969663666666667,1.26760805391239e-06,0.0001001061,1.82162255477573e-06,,,,
12100,,,,,,2.39549072058357e-06,0.0226730571428571,0.348954239718526,0.968387,0.970314777777778,1.35422343686752e-06,0.0001001179,1.73283161164922e-06,,,,
12110,,,,,,2.33776990486632e-06,0.0171132171428571,0.349354547283978,0.9692165,0.970965888888889,1.24298289055443e-06,0.0001001297,1.68712158116038e-06,,,,
12120,,,,,,2.37043928550466e-06,0.0139866514285714,0.349124610321735,0.970046,0.971617,1.4505316372681e-06,0.0001001415,1.64181637201545e-06,,,,
12130,,,,,,2.3588108516663e-06,0.0108600857142857,0.349835859284374,0.9708755,0.971946555555555,1.44567104206969e-06,0.0001001533,1.6230994787506e-06,,,,
12140,,,,,,2.34512423327412e-06,0.00773352,0.350022802963117,0.971705,0.972276111111111,1.31657120015921e-06,0.0001001651,1.6939918471711e-06,,,,
12150,,,,,,2.17025808535917e-06,0.00641244285714286,0.35057971648497,0.97169325,0.972605666666667,1.53798920302673e-06,0.0001001765,1.66141622721511e-06,,,,
12160,,,,,,2.4827292488052e-06,0.00509136571428572,0.350518621687932,0.9716815,0.972935222222222,1.30209497708415e-06,0.0001001875,1.56075394183178e-06,,,,
12170,,,,,,2.54207246857883e-06,0.00377028857142857,0.350631783995912,0.97166975,0.973927444444444,1.30557840300931e-06,0.0001001985,1.62776055097904e-06,,,,
12180,,,,,,2.09842052430516e-06,0.00285876857142857,0.35155761193026,0.971658,0.975582333333333,1.49717748866163e-06,0.0001002095,1.77579626734659e-06,,,,
12190,,,,,,2.09328937479288e-06,0.00235680571428571,0.352518091017493,0.97027525,0.977237222222222,1.62979671348886e-06,0.0001002205,1.7838197948738e-06,,,,
12200,,,,,,2.63922408055772e-06,0.00185484285714286,0.35355112766556,0.9688925,0.978892111111111,1.82876008473155e-06,0.000100228,1.78291186354082e-06,,,,
12210,,,,,,2.80059046738813e-06,0.00135288,0.354693850989826,0.96750975,0.980547,1.65702119673577e-06,0.000100232,1.81643397107433e-06,,,,
12220,,,,,,2.4595627167356e-06,0.00108049485714286,0.356517148753249,0.966127,0.981679222222222,1.69786966460517e-06,0.000100236,1.84022526765879e-06,,,,
12230,,,,,,2.52503749428995e-06,0.000808109714285714,0.358241304180899,0.964655,0.982811444444445,1.77559235785036e-06,0.00010024,1.78703101302207e-06,,,,
12240,,,,,,2.36589106612677e-06,0.000535724571428572,0.359449446381714,0.963183,0.983943666666667,1.73065343844625e-06,0.000100244,1.78258275759156e-06,,,,
12250,,,,,,2.26633066230142e-06,0.000357298857142857,0.360740030240341,0.961711,0.985075888888889,1.77400081530314e-06,0.0001002472,1.88917038515701e-06,,,,
12260,,,,,,2.27118602148038e-06,0.000272832571428571,0.362500158470523,0.960239,0.985117555555556,1.92966528443794e-06,0.0001002496,1.96488053497285e-06,,,,
12270,,,,,,2.21428162886054e-06,0.000188366285714286,0.364476137687033,0.96101825,0.984068666666667,1.9933914345825e-06,0.000100252,1.93540633183329e-06,,,,
12280,,,,,,2.28096070871691e-06,0.0001039,0.366125295824002,0.9617975,0.983019777777778,2.03840047289022e-06,0.0001002544,1.91949679918826e-06,,,,
12290,,,,,,2.30811833045709e-06,0.000103848571428571,0.367435220272944,0.96257675,0.981970888888889,1.93178871131859e-06,0.0001002568,1.92199406401995e-06,,,,
12300,,,,,,2.38234217140223e-06,0.000103797142857143,0.369098680071396,0.963356,0.980922,2.08185678824531e-06,0.0001002592,1.8624491676712e-06,,,,
12310,,,,,,2.24550549201113e-06,0.000103745714285714,0.370314033335891,0.9656415,0.979214222222222,2.19004964133247e-06,0.0001002616,1.81318668789393e-06,,,,
12320,,,,,,2.15462454944048e-06,0.000103721,0.371943841433034,0.967927,0.977506444444444,2.00620231801705e-06,0.000100264,1.76233015114246e-06,,,,
12330,,,,,,2.37500988167542e-06,0.000103723,0.372748335910938,0.9702125,0.975798666666666,1.87130073243409e-06,0.0001002664,1.73494625905695e-06,,,,
12340,,,,,,2.30931843044628e-06,0.000103725,0.374138093224776,0.972498,0.974090888888889,2.20923194771386e-06,0.0001002688,1.82068265372365e-06,,,,
12350,,,,,,2.57834428413591e-06,0.000103727,0.375143296997467,0.9738985,0.973159777777778,2.19027438549996e-06,0.0001002716,1.92196597254167e-06,,,,
12360,,,,,,2.40930245758966e-06,0.000103729285714286,0.376050251887392,0.975299,0.973005333333333,2.2855248356258e-06,0.0001002748,1.94485703048408e-06,,,,
12370,,,,,,2.07315980647655e-06,0.000103731571428571,0.376789334682607,0.9766995,0.972850888888889,2.47866580356553e-06,0.000100278,1.87948662592596e-06,,,,
12380,,,,,,1.99991591729933e-06,0.000103733857142857,0.377416683329933,0.9781,0.972696444444444,2.68736044938393e-06,0.0001002812,1.83471787153541e-06,,,,
12390,,,,,,2.46381472610374e-06,0.000103739428571429,0.37770056926323,0.977523,0.972542,2.7654460133514e-06,0.0001002844,1.84091592242841e-06,,,,
12400,,,,,,2.84580917557379e-06,0.000103748285714286,0.378652451331375,0.976946,0.973026,2.99764237410157e-06,0.0001002921,1.87826795304828e-06,,,,
12410,,,,,,2.82846939006205e-06,0.000103757142857143,0.379437320586264,0.976369,0.97351,2.94140468171014e-06,0.0001003043,1.8717043588618e-06,,,,
12420,,,,,,2.97010418657939e-06,0.000103766,0.38104797651083,0.975792,0.973994,3.31271694714244e-06,0.0001003165,1.85733587358263e-06,,,,
12430,,,,,,2.60734568612943e-06,0.000103780285714286,0.381971085658891,0.974821,0.974478,3.54319329232772e-06,0.0001003287,1.85675196740004e-06,,,,
12440,,,,,,2.20501277176343e-06,0.000103794571428571,0.383242085136866,0.97385,0.974606333333333,3.27686563187303e-06,0.0001003409,1.85113109471011e-06,,,,
12450,,,,,,2.69518629791774e-06,0.000103808857142857,0.384263498079202,0.972879,0.974379,3.77934604065047e-06,0.0001003546,1.86775113058857e-06,,,,
12460,,,,,,2.76788338189222e-06,0.000103823428571429,0.385094770998226,0.971908,0.974151666666667,3.98133067830874e-06,0.0001003698,1.87187258467037e-06,,,,
12470,,,,,,2.28632207774873e-06,0.000103838285714286,0.385375869657249,0.97254725,0.973924333333333,4.31408255293114e-06,0.000100385,1.96908428845824e-06,,,,
12480,,,,,,2.53315098086328e-06,0.000103853142857143,0.385922365010254,0.9731865,0.973697,4.61695174806554e-06,0.0001004002,2.06534910541001e-06,,,,
12490,,,,,,2.96914577851776e-06,0.000103868,0.386911776249396,0.97382575,0.972537444444444,4.86409563771351e-06,0.0001004154,2.05808486445816e-06,,,,
12500,,,,,,2.8321551544328e-06,0.000103891714285714,0.387575434498355,0.974465,0.971377888888889,5.35839995430622e-06,0.0001004356,1.94460239367356e-06,,,,
12510,,,,,,2.62617357309235e-06,0.000103915428571429,0.388876228963963,0.975621,0.970218333333333,5.73383162668026e-06,0.0001004608,1.89278292765879e-06,,,,
12520,,,,,,2.47730673454941e-06,0.000103939142857143,0.389903772506458,0.976777,0.969058777777778,6.40737588804024e-06,0.000100486,1.96589323495772e-06,,,,
12530,,,,,,2.34792561931557e-06,0.000103965142857143,0.390800074491009,0.977933,0.968054111111111,6.81638545966494e-06,0.0001005112,1.94267691696833e-06,,,,
12540,,,,,,2.06601246402969e-06,0.000103993428571429,0.390852605691591,0.979089,0.967204333333333,7.34034107775984e-06,0.0001005364,1.93289308532927e-06,,,,
12550,,,,,,2.30595846922901e-06,0.000104021714285714,0.390614516734871,0.978614,0.966354555555555,8.18543145895936e-06,0.0001005627,1.93241786629628e-06,,,,
12560,,,,,,2.38991226324418e-06,0.00010405,0.390718650059787,0.978139,0.965504777777778,8.8533855015406e-06,0.0001005901,1.90482142392835e-06,,,,
12570,,,,,,2.58968976924639e-06,0.000104078,0.391445322314463,0.977664,0.964655,9.5378441540714e-06,0.0001006175,1.88056796929064e-06,,,,
12580,,,,,,2.67205814246895e-06,0.000104106,0.391675557934315,0.977189,0.965749,1.02765722539545e-05,0.0001006449,1.86094387673316e-06,,,,
12590,,,,,,2.41947740172532e-06,0.000104134,0.392035708323965,0.97476475,0.966843,1.12634140312455e-05,0.0001006723,1.89947252725599e-06,,,,
12600,,,,,,2.4173658931927e-06,0.000104160428571429,0.391897747182131,0.9723405,0.967937,1.22682692961229e-05,0.0001006981,1.88406079077612e-06,,,,
12610,,,,,,2.65924023349957e-06,0.000104185285714286,0.392101309958494,0.96991625,0.969031,1.35273041580791e-05,0.0001007223,1.83537210643396e-06,,,,
12620,,,,,,2.65389785162568e-06,0.000104210142857143,0.392229048931858,0.967492,0.970691222222222,1.46654539084963e-05,0.0001007465,1.90103386778566e-06,,,,
12630,,,,,,2.28193456803733e-06,0.000104235,0.392061003161244,0.96541025,0.972917666666667,1.6448240879905e-05,0.0001007707,2.07179483956888e-06,,,,
12640,,,,,,1.93320184074126e-06,0.000104258714285714,0.391876924223153,0.9633285,0.975144111111111,1.80167034973286e-05,0.0001007949,2.15764607531603e-06,,,,
12650,,,,,,2.31361520826106e-06,0.000104282428571429,0.391953875030377,0.96124675,0.977370555555556,1.98256918230305e-05,0.0001008186,2.03241216496261e-06,,,,
12660,,,,,,2.89606167640481e-06,0.000104306142857143,0.391228218043972,0.959165,0.979597,2.20112037534696e-05,0.0001008418,1.89607325752228e-06,,,,
12670,,,,,,2.7314717035162e-06,0.000104329857142857,0.391066370273488,0.95981775,0.981447444444445,2.4289311465901e-05,0.000100865,1.87727772315744e-06,,,,
12680,,,,,,2.47096384088794e-06,0.000104353571428571,0.390637739935091,0.9604705,0.983297888888889,2.69617610549453e-05,0.0001008882,1.89895900460131e-06,,,,
12690,,,,,,2.42331434054762e-06,0.000104377285714286,0.390250922167535,0.96112325,0.985148333333334,2.97848175341995e-05,0.0001009114,1.8852364905608e-06,,,,
12700,,,,,,2.56791795107314e-06,0.000104401,0.388344429608781,0.961776,0.986998777777778,3.31952268684903e-05,0.0001009347,1.90493078199365e-06,,,,
12710,,,,,,2.67793386631678e-06,0.000104425,0.385255181539595,0.964570000000001,0.987923111111111,3.74700855788483e-05,0.0001009581,1.93474171776805e-06,,,,
12720,,,,,,2.90346090661334e-06,0.000104449,0.38031971012413,0.967364,0.987921333333333,4.18728670628157e-05,0.0001009815,1.93763725608968e-06,,,,
12730,,,,,,2.63163169925845e-06,0.000104473,0.374407911094045,0.970158000000001,0.987919555555555,4.73201851092649e-05,0.0001010049,1.98428521838113e-06,,,,
12740,,,,,,2.42556153230674e-06,0.000104496857142857,0.365865342311815,0.972952,0.987917777777778,5.32336709974318e-05,0.0001010283,2.00166333292957e-06,,,,
12750,,,,,,2.5811478399818e-06,0.000104520571428571,0.354595895921419,0.97573575,0.987916,6.05018585181914e-05,0.000101051,1.85227545957346e-06,,,,
12760,,,,,,2.52951630341531e-06,0.000104544285714286,0.338653855733288,0.9785195,0.986649777777778,6.88929102784612e-05,0.000101073,1.85697310601315e-06,,,,
12770,,,,,,2.62377172017085e-06,0.000104568,0.319028252906648,0.981303250000001,0.985383555555555,7.86270042500826e-05,0.000101095,1.99349425990582e-06,,,,
12780,,,,,,2.7796551468561e-06,0.000104588,0.295280310696346,0.984087,0.984117333333333,8.9601325072181e-05,0.000101117,1.97377848474105e-06,,,,
12790,,,,,,2.59150063097068e-06,0.000104608,0.268528394737867,0.98560875,0.982851111111111,0.000102559979871501,0.000101139,1.86109898300194e-06,,,,
12800,,,,,,2.81801948215718e-06,0.000104628,0.239856518323555,0.9871305,0.982109777777778,0.000117563212370313,0.0001011548,1.84054740390307e-06,,,,
12810,,,,,,3.30607898693787e-06,0.000104641857142857,0.211198399910165,0.98865225,0.981893333333333,0.000135029267228729,0.0001011644,1.90452097828594e-06,,,,
12820,,,,,,3.13647245554409e-06,0.000104649571428571,0.183826377436285,0.990174,0.981676888888889,0.000155215559032487,0.000101174,1.9461818417616e-06,,,,
12830,,,,,,2.59771390061189e-06,0.000104657285714286,0.159028639662058,0.99008825,0.981460444444444,0.00017811533324993,0.0001011836,1.9589229345497e-06,,,,
12840,,,,,,2.63163976160938e-06,0.000104665,0.137081114247566,0.9900025,0.981244,0.000204369053319736,0.0001011932,1.91581195226387e-06,,,,
12850,,,,,,2.99623652745615e-06,0.000104671285714286,0.118061821754077,0.98991675,0.982498444444444,0.000234513903930827,0.0001012013,1.85279691807748e-06,,,,
12860,,,,,,3.09095805320369e-06,0.000104677571428571,0.101222770174994,0.989831,0.983752888888889,0.000270148750981476,0.0001012079,1.83659088467558e-06,,,,
12870,,,,,,2.90132527109782e-06,0.000104683857142857,0.0869122045797001,0.98852625,0.985007333333333,0.000311794888000835,0.0001012145,1.87200536347735e-06,,,,
12880,,,,,,3.20307538296064e-06,0.000104690142857143,0.0744849099175282,0.9872215,0.986261777777778,0.00035796313884463,0.0001012211,1.98491811859138e-06,,,,
12890,,,,,,3.52371855941604e-06,0.000104696428571429,0.0644390018724803,0.98591675,0.987490222222222,0.000415538058424686,0.0001012277,2.06678466919719e-06,,,,
12900,,,,,,3.50961241240798e-06,0.000104702714285714,0.055950752401037,0.984612,0.988692666666667,0.00048198256337429,0.0001012342,2.02074905145757e-06,,,,
12910,,,,,,3.40579932076473e-06,0.000104709,0.0489723651935983,0.98181975,0.989895111111111,0.000557464626467682,0.0001012406,1.99877362354928e-06,,,,
12920,,,,,,3.35010187054991e-06,0.000104715571428571,0.0428154637470265,0.9790275,0.991097555555556,0.000648891879041673,0.000101247,2.03115034269471e-06,,,,
12930,,,,,,3.25960204654992e-06,0.000104722142857143,0.037830513358586,0.97623525,0.9923,0.000763955513516645,0.0001012534,2.05805035410528e-06,,,,
12940,,,,,,3.05262616763056e-06,0.000104728714285714,0.0334333720637937,0.973443,0.992172444444444,0.000891570097914546,0.0001012598,2.08433952104626e-06,,,,
12950,,,,,,2.96535003845556e-06,0.000104735142857143,0.029746863300806,0.96969,0.992044888888889,0.0010477152536903,0.0001012676,2.026336851057e-06,,,,
12960,,,,,,3.37180525969248e-06,0.000104741428571429,0.0261472278833154,0.965937,0.991917333333333,0.00124766643577758,0.0001012768,1.96998019468027e-06,,,,
12970,,,,,,3.46942036464936e-06,0.000104747714285714,0.0225767898559693,0.962184,0.991789777777778,0.00147892241300835,0.000101286,2.01604690863152e-06,,,,
12980,,,,,,3.26832675569461e-06,0.000104754,0.0189428784456036,0.958431,0.991149888888889,0.00176733639009585,0.0001012952,2.07714486286517e-06,,,,
12990,,,,,,3.56601780076425e-06,0.000104774857142857,0.0155926602108086,0.9555405,0.989997666666667,0.00213160928041071,0.0001013044,2.02725754790836e-06,,,,
13000,,,,,,3.95124183564901e-06,0.000104795714285714,0.012727022113471,0.95265,0.988845444444445,0.00256865632169429,0.0001013255,1.98419457747404e-06,,,,
13010,,,,,,3.56315786944968e-06,0.000104816571428571,0.0103276973307506,0.9497595,0.987693222222222,0.00310786756706413,0.0001013585,2.03424595070653e-06,,,,
13020,,,,,,3.35084750045951e-06,0.000104847,0.00837196229407239,0.946869,0.986541,0.00378492997197447,0.0001013915,2.0329574951886e-06,,,,
13030,,,,,,3.55555404222199e-06,0.000104887,0.00678669690295645,0.9470345,0.986069888888889,0.0046113148526825,0.0001014245,2.07935649677598e-06,,,,
13040,,,,,,3.4918085945137e-06,0.000104927,0.00552680954533502,0.9472,0.985598777777778,0.00559631354954407,0.0001014575,2.06676411121627e-06,,,,
13050,,,,,,3.36237471227803e-06,0.000104967,0.00450265726826094,0.9473655,0.985127666666667,0.00676921522220674,0.0001014936,2.03744699541868e-06,,,,
13060,,,,,,3.20804658576461e-06,0.000105007,0.00367053567455529,0.947531,0.984656555555556,0.0080602213228308,0.0001015328,2.04800531954319e-06,,,,
13070,,,,,,3.35307586666992e-06,0.000105047,0.00300053008965508,0.9509835,0.984684555555556,0.00920882267714828,0.000101572,2.05302809655412e-06,,,,
13080,,,,,,3.66369024468495e-06,0.000105087,0.0024685755467545,0.954436,0.985211666666667,0.0101233997701408,0.0001016112,2.01368965612623e-06,,,,
13090,,,,,,3.57946155346085e-06,0.000105127,0.00204556883824711,0.9578885,0.985738777777778,0.011186069814659,0.0001016504,2.02842752324234e-06,,,,
13100,,,,,,3.38296966505266e-06,0.000105167,0.00170246422617283,0.961341,0.986265888888889,0.0121808862220073,0.0001016896,2.10585139535528e-06,,,,
13110,,,,,,3.32288842260127e-06,0.000105207,0.00142102131715483,0.96604925,0.986793,0.0133809238712195,0.0001017288,2.19257937965127e-06,,,,
13120,,,,,,3.3358692287875e-06,0.000105247,0.00119055539997751,0.9707575,0.987655888888889,0.0148857074730619,0.000101768,2.15385360414794e-06,,,,
13130,,,,,,3.41315412424491e-06,0.000105287,0.0010044480095784,0.97546575,0.988518777777778,0.0166665044196348,0.0001018072,2.16885913671577e-06,,,,
13140,,,,,,3.46052650221762e-06,0.000105327,0.000848793397752017,0.980174,0.989381666666667,0.0186795680404037,0.0001018464,2.1674538087584e-06,,,,
13150,,,,,,3.33295034787549e-06,0.000105367,0.000719491881181738,0.98365425,0.990244555555556,0.0211663090207284,0.0001018847,2.07408402056376e-06,,,,
13160,,,,,,3.07389495436587e-06,0.000105406857142857,0.000610938048099964,0.9871345,0.990929444444444,0.0235913484303628,0.0001019221,2.04463715042067e-06,,,,
13170,,,,,,3.27106802542101e-06,0.000105446571428571,0.000520900011938081,0.99061475,0.991436333333333,0.0269618188224863,0.0001019595,2.08852127852852e-06,,,,
13180,,,,,,3.3453303494926e-06,0.000105486285714286,0.000445860799687338,0.994095,0.991943222222222,0.0307670719278451,0.0001019969,2.14107833758695e-06,,,,
13190,,,,,,3.46040591720266e-06,0.000105526,0.000382544247425849,0.99546575,0.992450111111111,0.0358217498150373,0.0001020343,2.11037011566735e-06,,,,
13200,,,,,,3.64743358777169e-06,0.000105551142857143,0.000328614979622249,0.9968365,0.992957,0.0416433487150736,0.0001020639,2.04307254095802e-06,,,,
13210,,,,,,3.66438186732803e-06,0.000105576285714286,0.000283768535226592,0.99820725,0.993425,0.0492581037448383,0.0001020857,2.07556033925619e-06,,,,
13220,,,,,,3.67699004014442e-06,0.000105601428571429,0.000246199845628281,0.999578,0.993893,0.0578462821942951,0.0001021075,2.0649295323163e-06,,,,
